year,month,precip_mm
1926,11,13.49
1926,12,61.95
1927,1,39.8
1927,2,130.8
1927,3,9.89
1927,4,29.48
1927,5,0.95
1927,6,0.0
1927,7,0.05
1927,8,0.05
1927,9,0.0
1927,10,11.18
1927,11,27.17
1927,12,36.1
1928,1,46.9
1928,2,108.56
1928,3,7.47
1928,4,0.76
1928,5,0.24
1928,6,0.0
1928,7,0.05
1928,8,0.05
1928,9,0.01
1928,10,1.74
1928,11,31.8
1928,12,68.73
1929,1,72.43
1929,2,55.66
1929,3,14.1
1929,4,35.85
1929,5,1.4
1929,6,0.12
1929,7,0.04
1929,8,0.05
1929,9,0.09
1929,10,1.54
1929,11,61.17
1929,12,67.17
1930,1,82.93
1930,2,54.43
1930,3,12.71
1930,4,24.34
1930,5,1.7
1930,6,0.0
1930,7,0.05
1930,8,0.05
1930,9,1.2
1930,10,1.15
1930,11,28.47
1930,12,58.28
1931,1,84.1
1931,2,61.04
1931,3,25.51
1931,4,11.42
1931,5,0.78
1931,6,0.14
1931,7,0.04
1931,8,0.05
1931,9,0.66
1931,10,4.01
1931,11,27.78
1931,12,86.52
1932,1,57.2
1932,2,64.28
1932,3,8.11
1932,4,8.21
1932,5,0.49
1932,6,0.0
1932,7,0.04
1932,8,0.04
1932,9,0.01
1932,10,7.49
1932,11,24.51
1932,12,8.95
1933,1,50.14
1933,2,32.37
1933,3,26.01
1933,4,14.16
1933,5,0.84
1933,6,0.01
1933,7,0.04
1933,8,0.04
1933,9,1.3
1933,10,3.88
1933,11,10.46
1933,12,30.97
1934,1,105.19
1934,2,75.41
1934,3,8.69
1934,4,9.4
1934,5,3.15
1934,6,0.01
1934,7,0.04
1934,8,0.04
1934,9,0.0
1934,10,3.35
1934,11,4.52
1934,12,94.13
1935,1,77.96
1935,2,99.88
1935,3,10.98
1935,4,13.68
1935,5,1.48
1935,6,0.0
1935,7,0.04
1935,8,0.05
1935,9,0.77
1935,10,21.45
1935,11,35.57
1935,12,22.55
1936,1,24.21
1936,2,64.58
1936,3,16.72
1936,4,8.22
1936,5,3.12
1936,6,0.0
1936,7,0.04
1936,8,0.04
1936,9,0.25
1936,10,1.0
1936,11,81.91
1936,12,85.73
1937,1,107.41
1937,2,16.56
1937,3,3.3
1937,4,29.21
1937,5,2.05
1937,6,0.05
1937,7,0.04
1937,8,0.04
1937,9,0.0
1937,10,24.63
1937,11,36.68
1937,12,24.43
1938,1,118.55
1938,2,81.89
1938,3,38.68
1938,4,5.28
1938,5,7.61
1938,6,0.0
1938,7,0.04
1938,8,0.0
1938,9,0.36
1938,10,1.04
1938,11,93.9
1938,12,45.16
1939,1,39.86
1939,2,78.64
1939,3,54.79
1939,4,10.11
1939,5,0.29
1939,6,0.08
1939,7,0.04
1939,8,0.01
1939,9,0.0
1939,10,3.91
1939,11,76.22
1939,12,44.48
1940,1,104.28
1940,2,26.5
1940,3,27.43
1940,4,24.36
1940,5,1.1
1940,6,0.01
1940,7,0.04
1940,8,0.0
1940,9,0.08
1940,10,11.77
1940,11,48.11
1940,12,76.86
1941,1,56.64
1941,2,31.21
1941,3,47.32
1941,4,5.03
1941,5,0.08
1941,6,0.0
1941,7,0.04
1941,8,0.0
1941,9,0.09
1941,10,3.79
1941,11,9.85
1941,12,156.74
1942,1,76.63
1942,2,49.61
1942,3,64.06
1942,4,1.51
1942,5,0.5
1942,6,0.02
1942,7,0.04
1942,8,0.01
1942,9,0.5
1942,10,33.17
1942,11,45.25
1942,12,23.43
1943,1,107.42
1943,2,52.13
1943,3,73.79
1943,4,35.65
1943,5,1.45
1943,6,0.0
1943,7,0.04
1943,8,0.0
1943,9,0.02
1943,10,10.2
1943,11,4.26
1943,12,35.42
1944,1,142.87
1944,2,30.34
1944,3,29.03
1944,4,9.61
1944,5,7.78
1944,6,0.0
1944,7,0.04
1944,8,0.0
1944,9,0.02
1944,10,1.2
1944,11,125.65
1944,12,109.87
1945,1,86.08
1945,2,73.66
1945,3,22.75
1945,4,7.07
1945,5,10.3
1945,6,0.01
1945,7,0.05
1945,8,0.0
1945,9,0.17
1945,10,1.26
1945,11,46.81
1945,12,65.59
1946,1,31.11
1946,2,84.97
1946,3,24.42
1946,4,0.98
1946,5,10.85
1946,6,0.0
1946,7,0.05
1946,8,0.0
1946,9,0.05
1946,10,2.56
1946,11,3.63
1946,12,35.17
1947,1,84.41
1947,2,13.38
1947,3,31.26
1947,4,7.92
1947,5,2.57
1947,6,0.02
1947,7,0.05
1947,8,0.0
1947,9,0.24
1947,10,1.82
1947,11,46.52
1947,12,24.19
1948,1,71.64
1948,2,66.77
1948,3,63.36
1948,4,15.06
1948,5,2.36
1948,6,0.0
1948,7,0.05
1948,8,0.0
1948,9,0.07
1948,10,1.29
1948,11,30.32
1948,12,69.08
1949,1,82.16
1949,2,95.47
1949,3,58.99
1949,4,40.42
1949,5,1.09
1949,6,0.0
1949,7,0.05
1949,8,0.0
1949,9,0.95
1949,10,0.18
1949,11,5.5
1949,12,109.21
1950,1,84.8
1950,2,62.48
1950,3,24.88
1950,4,8.75
1950,5,10.92
1950,6,0.01
1950,7,0.04
1950,8,0.0
1950,9,0.16
1950,10,10.65
1950,11,17.83
1950,12,24.25
1951,1,43.44
1951,2,54.93
1951,3,14.62
1951,4,11.79
1951,5,0.27
1951,6,0.01
1951,7,0.04
1951,8,0.0
1951,9,0.47
1951,10,5.92
1951,11,26.22
1951,12,154.47
1952,1,52.35
1952,2,71.45
1952,3,32.65
1952,4,4.26
1952,5,0.35
1952,6,0.0
1952,7,0.04
1952,8,0.0
1952,9,0.0
1952,10,8.48
1952,11,14.16
1952,12,27.31
1953,1,64.11
1953,2,72.4
1953,3,86.24
1953,4,7.17
1953,5,0.24
1953,6,0.01
1953,7,0.04
1953,8,0.0
1953,9,0.03
1953,10,0.84
1953,11,87.48
1953,12,74.66
1954,1,45.73
1954,2,81.85
1954,3,15.02
1954,4,23.74
1954,5,0.19
1954,6,0.0
1954,7,0.04
1954,8,0.0
1954,9,0.27
1954,10,1.99
1954,11,47.05
1954,12,91.02
1955,1,10.36
1955,2,16.79
1955,3,23.47
1955,4,9.24
1955,5,2.04
1955,6,0.0
1955,7,0.04
1955,8,0.0
1955,9,0.0
1955,10,3.91
1955,11,89.69
1955,12,83.41
1956,1,76.72
1956,2,25.31
1956,3,45.67
1956,4,12.19
1956,5,2.67
1956,6,0.0
1956,7,0.04
1956,8,0.0
1956,9,0.01
1956,10,0.68
1956,11,14.17
1956,12,62.17
1957,1,72.35
1957,2,64.5
1957,3,56.28
1957,4,16.18
1957,5,11.23
1957,6,0.02
1957,7,0.04
1957,8,0.0
1957,9,0.07
1957,10,5.03
1957,11,33.94
1957,12,72.52
1958,1,99.29
1958,2,8.36
1958,3,4.66
1958,4,5.59
1958,5,1.28
1958,6,0.11
1958,7,0.04
1958,8,0.0
1958,9,0.15
1958,10,4.45
1958,11,4.03
1958,12,17.43
1959,1,62.41
1959,2,84.56
1959,3,25.15
1959,4,4.87
1959,5,2.08
1959,6,0.01
1959,7,0.04
1959,8,0.0
1959,9,0.57
1959,10,1.83
1959,11,14.85
1959,12,17.3
1960,1,47.67
1960,2,9.98
1960,3,37.37
1960,4,9.3
1960,5,0.39
1960,6,0.0
1960,7,0.04
1960,8,0.0
1960,9,0.06
1960,10,0.55
1960,11,43.63
1960,12,22.35
1961,1,74.62
1961,2,72.47
1961,3,16.41
1961,4,14.59
1961,5,6.87
1961,6,0.01
1961,7,0.04
1961,8,0.0
1961,9,0.39
1961,10,6.9
1961,11,19.44
1961,12,120.94
1962,1,53.85
1962,2,46.82
1962,3,3.73
1962,4,11.92
1962,5,2.69
1962,6,0.0
1962,7,0.04
1962,8,0.0
1962,9,0.0
1962,10,8.82
1962,11,3.09
1962,12,56.48
1963,1,39.64
1963,2,50.99
1963,3,23.42
1963,4,13.46
1963,5,7.84
1963,6,0.04
1963,7,0.07
1963,8,0.0
1963,9,0.07
1963,10,20.42
1963,11,25.04
1963,12,99.03
1964,1,57.82
1964,2,90.26
1964,3,35.44
1964,4,8.84
1964,5,2.1
1964,6,0.0
1964,7,0.04
1964,8,0.0
1964,9,0.02
1964,10,1.4
1964,11,79.4
1964,12,66.45
1965,1,127.91
1965,2,33.32
1965,3,24.93
1965,4,26.3
1965,5,0.21
1965,6,0.02
1965,7,0.04
1965,8,0.01
1965,9,0.08
1965,10,27.08
1965,11,19.58
1965,12,41.09
1966,1,41.55
1966,2,38.56
1966,3,51.35
1966,4,0.53
1966,5,0.57
1966,6,0.0
1966,7,0.04
1966,8,0.0
1966,9,0.28
1966,10,21.07
1966,11,18.06
1966,12,122.29
1967,1,97.42
1967,2,44.17
1967,3,73.29
1967,4,3.53
1967,5,9.32
1967,6,0.0
1967,7,0.04
1967,8,0.0
1967,9,0.06
1967,10,17.63
1967,11,49.45
1967,12,50.09
1968,1,98.17
1968,2,25.14
1968,3,15.99
1968,4,24.33
1968,5,4.26
1968,6,0.0
1968,7,0.04
1968,8,0.01
1968,9,0.08
1968,10,13.47
1968,11,33.25
1968,12,90.87
1969,1,116.89
1969,2,14.95
1969,3,71.11
1969,4,13.03
1969,5,1.3
1969,6,0.0
1969,7,0.04
1969,8,0.0
1969,9,0.12
1969,10,15.87
1969,11,30.65
1969,12,33.13
1970,1,76.66
1970,2,23.23
1970,3,54.27
1970,4,15.37
1970,5,1.82
1970,6,0.0
1970,7,0.04
1970,8,0.09
1970,9,0.31
1970,10,8.26
1970,11,22.07
1970,12,54.45
1971,1,52.06
1971,2,58.69
1971,3,25.09
1971,4,78.69
1971,5,0.21
1971,6,0.14
1971,7,0.04
1971,8,0.04
1971,9,0.06
1971,10,4.25
1971,11,30.12
1971,12,110.23
1972,1,41.13
1972,2,59.4
1972,3,45.22
1972,4,20.65
1972,5,2.24
1972,6,0.23
1972,7,0.06
1972,8,0.0
1972,9,0.14
1972,10,4.29
1972,11,34.64
1972,12,27.18
1973,1,74.06
1973,2,11.17
1973,3,36.08
1973,4,6.17
1973,5,4.35
1973,6,0.05
1973,7,0.04
1973,8,0.0
1973,9,0.0
1973,10,6.09
1973,11,50.13
1973,12,22.74
1974,1,189.1
1974,2,63.79
1974,3,32.45
1974,4,25.01
1974,5,0.02
1974,6,0.0
1974,7,0.04
1974,8,0.0
1974,9,0.02
1974,10,1.52
1974,11,30.46
1974,12,73.43
1975,1,32.26
1975,2,96.79
1975,3,24.4
1975,4,6.03
1975,5,0.17
1975,6,0.0
1975,7,0.04
1975,8,0.0
1975,9,0.84
1975,10,2.11
1975,11,28.93
1975,12,55.22
1976,1,32.65
1976,2,55.86
1976,3,41.75
1976,4,17.89
1976,5,5.85
1976,6,0.3
1976,7,0.05
1976,8,0.0
1976,9,0.26
1976,10,11.57
1976,11,42.32
1976,12,27.69
1977,1,68.43
1977,2,24.72
1977,3,41.6
1977,4,50.74
