year,product,geography_id,rain_mm,rain_mm_months,former_mm,former_mm_months,latter_mm,latter_mm_months,pet_mm,pet_mm_months,balance_mm,balance_mm_months,wet_days,wet_days_months,spring_tmx_c,spring_tmx_c_months,annual_tmp_c,annual_tmp_c_months,rain_mm_baseline_n,rain_mm_anomaly,rain_mm_z,rain_percent_baseline,former_mm_baseline_n,former_mm_anomaly,former_mm_z,latter_mm_baseline_n,latter_mm_anomaly,latter_mm_z,pet_mm_baseline_n,pet_mm_anomaly,pet_mm_z,balance_mm_baseline_n,balance_mm_anomaly,balance_mm_z,wet_days_baseline_n,wet_days_anomaly,wet_days_z,spring_tmx_c_baseline_n,spring_tmx_c_anomaly,spring_tmx_c_z,annual_tmp_c_baseline_n,annual_tmp_c_anomaly,annual_tmp_c_z
1901,CRU-CY4.10,CRU-CY:Israel,,9,,0,20.200000000000003,2,,9,,9,,9,23.559782608695652,3,18.483835616438355,12,30,,,,30,,,30,-39.99000000000001,-1.4026245519140494,30,,,30,,,30,,,30,-0.8532246376811585,-0.8850972844247437,30,-1.262087756069569,-2.0824758918222557
1902,CRU-CY4.10,CRU-CY:Israel,413.4,12,43.5,2,72.7,2,1435.2,12,-1021.8000000000001,12,49.8,12,22.4304347826087,3,17.95917808219178,12,30,5.1100000000000705,0.05128692183307157,101.25156139018837,30,-20.319999999999986,-0.4749735264656264,30,12.509999999999991,0.43878052374205406,30,-66.39666666666653,-2.3332723705821117,30,71.50666666666677,0.6059858201847309,30,2.1899999999999977,0.31490851358959454,30,-1.9825724637681112,-2.0566324814827586,30,-1.7867452903161443,-2.948173749421293
1903,CRU-CY4.10,CRU-CY:Israel,487.9,12,130.0,2,58.599999999999994,2,1402.3,12,-914.4000000000001,12,53.099999999999994,12,22.43152173913044,3,17.05068493150685,12,30,79.61000000000007,0.7990121031567075,119.49839574812023,30,66.18,1.5469364164121644,30,-1.5900000000000176,-0.055768268005585465,30,-99.29666666666662,-3.489424702408285,30,178.90666666666675,1.5161509855004123,30,5.489999999999995,0.7894281916013124,30,-1.9814855072463722,-2.055504921139103,30,-2.6952384410010737,-4.447209830778161
1904,CRU-CY4.10,CRU-CY:Israel,431.00000000000006,12,51.800000000000004,2,89.19999999999999,2,1395.1999999999998,12,-964.1999999999999,12,51.1,12,21.93586956521739,3,17.590710382513663,12,30,22.71000000000015,0.2279307230585219,105.56222292978035,30,-12.019999999999982,-0.2809636706750406,30,29.009999999999977,1.0175078332339718,30,-106.39666666666676,-3.738928701069865,30,129.1066666666669,1.0941190932031981,30,3.490000000000002,0.5018405079578477,30,-2.4771376811594195,-2.569672437845995,30,-2.1552129899942614,-3.5561545319023056
1905,CRU-CY4.10,CRU-CY:Israel,676.3000000000001,12,122.6,2,127.0,2,1421.1,12,-744.8,12,65.49999999999999,12,22.36086956521739,3,17.98,12,30,268.01000000000016,2.689903702638225,165.64206813784324,30,58.78000000000001,1.3739637739000758,30,66.80999999999999,2.3433194877063666,30,-80.49666666666667,-2.8287662270790466,30,348.5066666666669,2.953432289388119,30,17.889999999999986,2.572471830190798,30,-2.0521376811594223,-2.1287963434767145,30,-1.765923372507924,-2.913817072043993
1906,CRU-CY4.10,CRU-CY:Israel,573.2,12,35.8,2,100.80000000000001,2,1441.7,12,-868.5000000000001,12,56.9,12,22.528260869565216,3,18.286301369863015,12,30,164.91000000000014,1.6551323443232335,140.39040877807446,30,-28.01999999999999,-0.6549585734038808,30,40.61,1.4243706689979878,30,-59.89666666666653,-2.104853216877853,30,224.80666666666673,1.9051321874370024,30,9.29,1.3358447905238977,30,-1.884746376811595,-1.9551520505537734,30,-1.4596220026449096,-2.408412265362151
1907,CRU-CY4.10,CRU-CY:Israel,525.2,12,66.1,2,81.7,2,1426.6000000000001,12,-901.4000000000001,12,54.00000000000001,12,21.660869565217393,3,17.659178082191783,12,30,116.91000000000014,1.17337652279928,128.63405912464185,30,2.2800000000000082,0.053294273638859885,30,21.50999999999999,0.7544499652831004,30,-74.99666666666644,-2.6354884816369735,30,191.90666666666675,1.6263199533691635,30,6.390000000000008,0.9188426492408738,30,-2.752137681159418,-2.854945204790824,30,-2.0867452903161414,-3.4431811405810513
1908,CRU-CY4.10,CRU-CY:Israel,541.7,12,91.2,2,120.5,2,1444.0,12,-902.3000000000001,12,59.699999999999996,12,23.101086956521737,3,17.89426229508197,12,30,133.41000000000014,1.3389800864481392,132.6753043180093,30,27.380000000000017,0.6399987772947278,30,60.30999999999999,2.1153360021489442,30,-57.59666666666658,-2.0240279778748094,30,191.00666666666677,1.61869287097825,30,12.089999999999996,1.738467547624749,30,-1.311920289855074,-1.3609277494473486,30,-1.8516610774259554,-3.0552863974956606
1909,CRU-CY4.10,CRU-CY:Israel,428.70000000000005,12,75.10000000000001,2,92.19999999999999,2,1457.3999999999999,12,-1028.6999999999998,12,47.900000000000006,12,23.827173913043477,3,18.997808219178083,12,30,20.41000000000014,0.20484658994383237,104.99889784222003,30,11.280000000000022,0.2636664064238327,30,32.00999999999998,1.1227309804143206,30,-44.196666666666715,-1.5531331071614194,30,64.60666666666702,0.547511521854396,30,0.29000000000000625,0.041700214128303416,30,-0.5858333333333334,-0.6077174398855024,30,-0.7481151533298416,-1.2344084344563033
1910,CRU-CY4.10,CRU-CY:Israel,439.2,12,94.0,2,134.5,2,1450.7,12,-1011.5,12,50.39999999999999,12,22.34891304347826,3,17.89972602739726,12,30,30.910000000000082,0.3102306759021966,107.5705993289084,30,30.180000000000014,0.7054478852722746,30,74.30999999999999,2.6063773556572385,30,-50.89666666666653,-1.7885805425181103,30,81.80666666666684,0.693273540880742,30,2.789999999999992,0.4011848186826334,30,-2.064094202898552,-2.141199507256924,30,-1.8461973451106637,-3.046271104564368
