year,month,pre,tmp,tmx,pet,wet,date,days_in_month,pet_mm,balance_mm,product,geography_id,source_status,pre_baseline_n,pre_anomaly,tmp_baseline_n,tmp_anomaly,tmx_baseline_n,tmx_anomaly,pet_mm_baseline_n,pet_mm_anomaly,balance_mm_baseline_n,balance_mm_anomaly,wet_baseline_n,wet_anomaly
1901,1,139.8,10.8,15.8,1.9,13.8,1901-01-01,31,58.9,80.9,CRU-CY4.08,CRU-CY:Israel,gridded estimate; station support unavailable,30.0,31.14333333333333,30.0,-1.4233333333333338,30.0,-0.9466666666666654,30.0,2.06666666666667,30.0,29.076666666666668,30.0,2.813333333333331
1901,2,9.6,14.7,20.9,2.8,1.8,1901-02-01,28,78.39999999999999,-68.8,CRU-CY4.08,CRU-CY:Israel,gridded estimate; station support unavailable,30.0,-68.54000000000002,30.0,1.8599999999999959,30.0,3.0700000000000003,30.0,10.469999999999985,30.0,-79.00999999999999,30.0,-8.533333333333331
1901,3,17.3,15.3,21.9,3.4,3.6,1901-03-01,31,105.39999999999999,-88.1,CRU-CY4.08,CRU-CY:Israel,gridded estimate; station support unavailable,30.0,-26.38333333333333,30.0,0.1533333333333342,30.0,1.3200000000000003,30.0,4.649999999999977,30.0,-31.03333333333334,30.0,-2.766666666666668
1901,4,7.1,17.5,24.8,4.7,1.7,1901-04-01,30,141.0,-133.9,CRU-CY4.08,CRU-CY:Israel,gridded estimate; station support unavailable,30.0,-9.16666666666667,30.0,-0.8933333333333309,30.0,0.1700000000000017,30.0,6.5,30.0,-15.666666666666686,30.0,-0.7933333333333332
1901,5,21.2,18.5,25.5,5.2,3.2,1901-05-01,31,161.20000000000002,-140.00000000000003,CRU-CY4.08,CRU-CY:Israel,gridded estimate; station support unavailable,30.0,16.82333333333333,30.0,-3.0466666666666704,30.0,-2.436666666666664,30.0,-6.406666666666638,30.0,23.22999999999996,30.0,2.0999999999999996
1901,6,0.1,22.5,30.0,6.7,0.0,1901-06-01,30,201.0,-200.9,CRU-CY4.08,CRU-CY:Israel,gridded estimate; station support unavailable,30.0,-0.006666666666666682,30.0,-1.8033333333333346,30.0,-0.5133333333333319,30.0,6.800000000000011,30.0,-6.8066666666667,30.0,-0.05000000000000001
1901,7,0.0,24.4,31.0,6.4,0.0,1901-07-01,31,198.4,-198.4,CRU-CY4.08,CRU-CY:Israel,gridded estimate; station support unavailable,30.0,0.0,30.0,-1.870000000000001,30.0,-1.1000000000000014,30.0,-3.306666666666672,30.0,3.306666666666672,30.0,0.0
1901,8,0.0,24.7,31.3,5.9,0.0,1901-08-01,31,182.9,-182.9,CRU-CY4.08,CRU-CY:Israel,gridded estimate; station support unavailable,30.0,0.0,30.0,-2.003333333333334,30.0,-1.0500000000000007,30.0,-3.409999999999968,30.0,3.409999999999968,30.0,0.0
1901,9,0.2,22.7,29.5,4.9,0.1,1901-09-01,30,147.0,-146.8,CRU-CY4.08,CRU-CY:Israel,gridded estimate; station support unavailable,30.0,-0.24,30.0,-2.3933333333333273,30.0,-1.3266666666666644,30.0,-0.5999999999999943,30.0,0.3599999999999852,30.0,0.006666666666666668
1901,10,5.4,20.8,27.6,3.7,1.5,1901-10-01,31,114.7,-109.3,CRU-CY4.08,CRU-CY:Israel,gridded estimate; station support unavailable,30.0,-10.273333333333333,30.0,-1.6199999999999974,30.0,-0.5899999999999999,30.0,2.8933333333333593,30.0,-13.166666666666657,30.0,-1.0999999999999996
